DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,FR,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,GE,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HR,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,HU,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2009,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2010,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2011,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2012,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2013,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2014,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2015,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2016,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2017,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2018,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2019,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2020,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2021,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2022,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2023,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IE,2024,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2005,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2006,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2007,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2008,,m,
ESTAT:NRG_IND_EFF(1.0),13/02/26 23:00:00,A,PEC_DT2030,I05,IS,2009,,m,
